route,season,quantity_kg,distance_km,vehicle_type,road_condition,packaging_type,temperature_c,humidity_pct,transit_hours,days_to_spoil,spoilage_loss_pct
Dambulla - Colombo,Dry,713,95,Open Truck,Poor,Ventilated Box,30.4,66.6,4.2,6.4,16.97
Dambulla - Colombo,Wet,560,128,Open Truck,Good,Ventilated Box,31.7,91.2,6.6,1.5,24.12
Dambulla - Colombo,Dry,323,135,Covered Truck,Moderate,Cardboard Box,29.6,68.7,5.3,13.1,12.07
Dambulla - Colombo,Dry,437,98,Open Truck,Moderate,Cardboard Box,29.7,68,3.9,2.5,18.23
Dambulla - Colombo,Dry,751,92,Open Truck,Poor,Cardboard Box,32.8,69,4.5,1.5,23.08
Dambulla - Colombo,Dry,570,99,Covered Truck,Poor,Cardboard Box,28.2,68.8,3.8,7.8,15.97
Dambulla - Colombo,Dry,82,91,Open Truck,Moderate,Plastic Crate,28.9,66.1,4,7.5,15.58
Dambulla - Colombo,Dry,552,98,Covered Truck,Good,Plastic Crate,28.4,67.5,5,9.6,14.22
Dambulla - Colombo,Dry,534,136,Open Truck,Moderate,Plastic Crate,31.2,66.2,6.2,10.1,13.35
Dambulla - Colombo,Wet,389,90,Three-Wheeler,Moderate,Plastic Crate,29.3,88.9,3.7,4.2,22.16
Dambulla - Colombo,Wet,460,125,Three-Wheeler,Good,Plastic Crate,31.2,80.2,4.8,11.6,15.26
Dambulla - Colombo,Dry,435,133,Open Truck,Good,Cardboard Box,28.6,76.4,5.4,11.7,13.08
Dambulla - Colombo,Wet,733,85,Covered Truck,Moderate,Sack,27.8,80.6,3.6,9,19.61
Dambulla - Colombo,Dry,250,95,Open Truck,Poor,Ventilated Box,34.5,76.4,5.2,6.5,17.27
Dambulla - Colombo,Dry,689,116,Covered Truck,Good,Sack,27.1,68.4,7.2,3.9,18.57
Dambulla - Colombo,Wet,621,100,Open Truck,Poor,Sack,25.4,86.4,4.6,3.4,22.91
Dambulla - Colombo,Dry,469,117,Covered Truck,Moderate,Plastic Crate,30.3,74.4,3.8,6.5,17.48
Dambulla - Colombo,Dry,210,138,Three-Wheeler,Poor,Sack,31.4,60.7,7.4,1.5,25.5
Dambulla - Colombo,Dry,279,139,Refrigerated Van,Good,Cardboard Box,30.4,63.5,6.6,14.4,11.14
Dambulla - Colombo,Wet,98,132,Covered Truck,Moderate,Plastic Crate,24.5,81.8,4.6,10,14.37
Dambulla - Colombo,Dry,240,115,Covered Truck,Good,Cardboard Box,32.5,56.3,5.7,1.9,20.66
Dambulla - Colombo,Dry,153,111,Open Truck,Moderate,Plastic Crate,28.1,76.3,4.8,8.3,17.63
Dambulla - Colombo,Dry,449,129,Open Truck,Moderate,Sack,32.3,91.1,4.8,6.3,20.6
Dambulla - Colombo,Dry,493,126,Open Truck,Moderate,Plastic Crate,30,71.6,4.6,11.3,14.51
Dambulla - Colombo,Dry,318,119,Covered Truck,Good,Ventilated Box,30.1,60.3,5.7,3.9,15.62
Dambulla - Colombo,Dry,562,96,Open Truck,Good,Ventilated Box,30.7,63.2,3.8,9.6,11.53
Dambulla - Colombo,Dry,125,89,Refrigerated Van,Good,Cardboard Box,36.3,69.4,4.1,8.4,14.81
Dambulla - Colombo,Dry,72,120,Open Truck,Good,Ventilated Box,32.7,71.6,5.7,6.7,17.19
Dambulla - Colombo,Dry,209,100,Covered Truck,Poor,Ventilated Box,33.4,77.3,3.1,9,16.28
Dambulla - Colombo,Dry,334,117,Open Truck,Poor,Plastic Crate,30.6,71.5,4.1,3.4,18.22
Dambulla - Colombo,Dry,425,137,Refrigerated Van,Good,Plastic Crate,29.4,65.9,7.3,12.8,11.65
Dambulla - Colombo,Dry,712,102,Covered Truck,Moderate,Plastic Crate,30.9,68.7,5.4,10.1,15.01
Dambulla - Colombo,Wet,494,143,Covered Truck,Moderate,Cardboard Box,26.7,87.7,5.5,4.1,19.72
Dambulla - Colombo,Wet,200,136,Covered Truck,Moderate,Ventilated Box,28.5,77.2,6.2,3.6,20.12
Dambulla - Colombo,Wet,683,124,Refrigerated Van,Moderate,Ventilated Box,27.4,89.1,7.2,6.6,15.62
Dambulla - Colombo,Wet,494,120,Covered Truck,Poor,Plastic Crate,28.5,87,4.2,7,17.77
Dambulla - Colombo,Dry,50,92,Covered Truck,Good,Cardboard Box,35,70.8,5.5,2.9,21.35
Dambulla - Colombo,Dry,198,129,Open Truck,Poor,Sack,34.4,66.3,3.5,3.6,19.85
Dambulla - Colombo,Wet,785,107,Covered Truck,Moderate,Sack,25.8,91.2,5.1,4.5,19.42
Dambulla - Colombo,Dry,551,121,Open Truck,Moderate,Sack,29.1,62.7,6.2,8.1,17.21
Dambulla - Colombo,Dry,291,109,Three-Wheeler,Poor,Sack,35.2,57.6,6.4,6.7,19.73
Dambulla - Colombo,Dry,510,109,Refrigerated Van,Poor,Ventilated Box,34.4,63.9,5.5,4,20.25
Dambulla - Colombo,Dry,50,103,Three-Wheeler,Moderate,Ventilated Box,33.3,72.9,5,7.9,18.63
Dambulla - Colombo,Dry,355,118,Refrigerated Van,Good,Plastic Crate,31.8,63.5,6.3,8.4,15.12
Dambulla - Colombo,Wet,787,135,Refrigerated Van,Moderate,Plastic Crate,31.7,87.3,5.5,5.1,20.2
Dambulla - Colombo,Dry,187,139,Refrigerated Van,Moderate,Ventilated Box,29.8,76,6.4,15.1,10.44
Dambulla - Colombo,Dry,232,95,Three-Wheeler,Moderate,Ventilated Box,31.9,59.8,4.1,8.8,15.65
Dambulla - Colombo,Wet,452,116,Open Truck,Good,Plastic Crate,28.1,88.4,4.8,1.8,18.53
Dambulla - Colombo,Dry,288,110,Open Truck,Moderate,Sack,28,61,5,1.5,21.67
Dambulla - Colombo,Dry,523,131,Open Truck,Poor,Ventilated Box,31.4,68.2,5.8,4.9,19.44
Dambulla - Colombo,Wet,555,127,Open Truck,Good,Plastic Crate,30.2,84.8,4.2,8.8,15.19
Dambulla - Colombo,Wet,629,109,Open Truck,Good,Plastic Crate,28.2,76.7,4.8,4.3,18.48
Dambulla - Colombo,Wet,787,121,Covered Truck,Moderate,Ventilated Box,23,88.4,6,1.5,20.88
Dambulla - Colombo,Wet,292,114,Open Truck,Good,Plastic Crate,31,81.8,6.9,5.8,19.83
Dambulla - Colombo,Wet,484,86,Refrigerated Van,Good,Cardboard Box,30,85.4,4.5,14.8,11.49
Dambulla - Colombo,Wet,739,120,Open Truck,Moderate,Cardboard Box,28,76.7,5.9,3.8,22.11
Dambulla - Colombo,Dry,144,108,Open Truck,Good,Ventilated Box,32.3,76.6,5.7,9.4,14.95
Dambulla - Colombo,Dry,340,125,Three-Wheeler,Moderate,Cardboard Box,30.7,68.7,6,7.9,18.29
Dambulla - Colombo,Wet,686,123,Three-Wheeler,Good,Sack,31,79.6,6.3,10.5,18.08
Dambulla - Colombo,Dry,228,135,Covered Truck,Moderate,Ventilated Box,31.6,72.6,5.3,5.1,16.57
Dambulla - Colombo,Wet,338,117,Covered Truck,Moderate,Plastic Crate,26.8,84.4,5.8,6.7,19.42
Dambulla - Colombo,Wet,734,89,Open Truck,Moderate,Plastic Crate,31.2,79.3,4.2,4.6,21.95
Dambulla - Colombo,Dry,412,92,Covered Truck,Poor,Sack,31.4,73,4,7.5,17.52
Dambulla - Colombo,Dry,176,88,Open Truck,Moderate,Plastic Crate,31.3,72.4,2.7,4.4,18.54
Dambulla - Colombo,Wet,469,130,Open Truck,Good,Ventilated Box,27.8,86.7,5.1,1.5,26.01
Dambulla - Colombo,Dry,524,95,Refrigerated Van,Good,Ventilated Box,33.1,54.1,4.1,9.4,13.81
Dambulla - Colombo,Dry,711,108,Three-Wheeler,Good,Ventilated Box,24.3,67.7,6.1,3.7,16.55
Dambulla - Colombo,Dry,190,124,Three-Wheeler,Good,Sack,31.3,74.8,5.7,4,19.09
Dambulla - Colombo,Wet,224,103,Open Truck,Good,Ventilated Box,30.7,79.6,6.4,2.2,22.61
Dambulla - Colombo,Dry,429,94,Open Truck,Good,Ventilated Box,31.3,66.9,5.3,5.9,17.01
Dambulla - Colombo,Dry,467,135,Refrigerated Van,Good,Sack,33,56.7,4.7,15.4,12.06
Dambulla - Colombo,Wet,196,94,Refrigerated Van,Good,Plastic Crate,26.5,80.5,4.3,7,15.37
Dambulla - Colombo,Wet,305,139,Refrigerated Van,Good,Sack,26.9,88.5,6.6,6.3,16.35
Dambulla - Colombo,Wet,575,116,Refrigerated Van,Good,Sack,30.4,81.8,3.9,5.7,20.8
Dambulla - Colombo,Dry,91,121,Refrigerated Van,Poor,Sack,31.7,71.7,7.5,4.1,20.43
Dambulla - Colombo,Wet,450,141,Covered Truck,Moderate,Ventilated Box,32.1,91.4,6.1,2.7,20.69
Dambulla - Colombo,Dry,725,105,Three-Wheeler,Good,Ventilated Box,27.4,71.5,4.3,5.4,16.05
Dambulla - Colombo,Wet,293,120,Covered Truck,Poor,Sack,25.9,86.2,4.2,9.4,18.93
Dambulla - Colombo,Dry,180,127,Covered Truck,Good,Cardboard Box,30.9,78.6,5.2,10,13.78
Dambulla - Colombo,Wet,710,100,Open Truck,Poor,Plastic Crate,25.8,82.3,5,4.2,21.73
Dambulla - Colombo,Wet,135,116,Covered Truck,Good,Sack,28.4,79.7,6.2,9.2,16.47
Dambulla - Colombo,Wet,201,126,Refrigerated Van,Moderate,Cardboard Box,26.8,87.3,5.7,14.9,11.44
