batch_id,batch_date,shift,product_type,product_category,supplier_id,quantity_produced_kg,storage_temperature_celsius,humidity_percent,co2_concentration_ppm,light_exposure_lux,storage_duration_hours,cold_chain_maintained,storage_zone,processing_duration_hours,processing_delay_hours,processing_stages_completed,equipment_used,demand_forecast_kg,inventory_level_kg,delivery_time_days,transport_cost_per_ton_inr,supplier_reliability_score,supply_chain_disruption,extreme_weather_event,order_fulfillment_status,quality_score_percent,composite_risk_score,actual_wastage_kg,wastage_percent,wastage_cost_inr,spoilage_class,wastage_risk_category,recommended_corrective_action
BATCH-00001,2023-09-19,Morning,Lemon,Citrus,SUP-006,1225.22,15.51,71.23,445.6,175.2,57.0,Yes,Zone-A,4.42,0.76,1,Packer-Z,3166.08,1413.5,3.15,4494.73,,0,0,Fulfilled,90.08,2,129.02,10.53,3870.6,Good,Medium,Reduce Storage Temperature
BATCH-00002,2020-09-25,Morning,Mango,Fruits,SUP-011,1431.78,13.01,77.96,986.2,359.2,28.2,No,Zone-A,1.62,0.6,1,Conveyor-A,4449.3,1957.19,4.69,5931.86,76.28,0,0,Fulfilled,,1,207.04,14.46,12422.4,Good,Medium,Restore Cold Chain Immediately
BATCH-00003,2021-09-29,Night,Leafy Greens,Vegetables,SUP-018,469.12,3.81,60.5,1089.1,185.7,45.9,Yes,Zone-A,6.42,1.32,1,Conveyor-B,,923.42,8.19,3691.44,55.58,0,0,Fulfilled,,1,30.59,6.52,458.85,Good,Low,Quality Re-inspection Required
BATCH-00004,2021-07-26,Morning,Pineapple,Fruits,SUP-004,949.68,9.14,74.89,1476.4,303.1,54.5,No,Zone-A,2.17,2.87,3,Sorter-X,757.88,2725.87,8.38,5293.52,98.52,0,0,Cancelled,88.68,1,148.25,15.61,6671.25,Bad,Medium,Restore Cold Chain Immediately
BATCH-00005,2021-08-14,Morning,Lemon,Citrus,SUP-003,1676.66,11.13,85.47,1458.5,323.4,85.3,Yes,Zone-A,6.87,1.16,3,Washer-1,2124.25,884.68,2.05,1794.52,,0,1,Delayed,62.94,2,217.8,12.99,6534.0,Good,Medium,Prioritize Dispatch
BATCH-00006,2020-07-02,Afternoon,Onion,Root Vegetables,SUP-013,1343.98,19.93,77.7,909.6,202.5,56.4,No,Zone-D,9.69,6.06,1,Conveyor-A,3518.73,1948.94,5.75,6449.26,85.0,0,0,Partial,78.03,2,294.87,21.94,6487.14,Bad,High,Restore Cold Chain Immediately
BATCH-00007,2023-04-02,Morning,Orange,Fruits,SUP-009,881.29,5.21,77.0,908.3,256.4,23.4,No,Zone-A,2.94,,1,Conveyor-A,4786.0,2840.77,4.45,7458.57,52.89,0,0,Fulfilled,90.1,3,87.69,9.95,3069.15,Good,Low,Restore Cold Chain Immediately
BATCH-00008,2020-02-22,Night,Lemon,Citrus,SUP-006,1360.39,19.68,62.19,593.3,363.2,9.5,Yes,Zone-B,1.85,0.5,3,Washer-1,4121.08,1262.35,5.92,7206.84,72.18,0,0,Partial,72.01,2,183.52,13.49,5505.6,Good,Medium,Reduce Storage Temperature
BATCH-00009,2022-02-10,Afternoon,Leafy Greens,Vegetables,SUP-012,324.62,8.77,86.01,708.9,238.2,60.9,No,Zone-C,0.73,1.85,5,Sorter-X,1294.65,568.14,6.65,3750.99,94.98,1,0,Fulfilled,56.16,0,71.9,22.15,1078.5,Bad,High,Restore Cold Chain Immediately
BATCH-00010,2022-08-24,Night,Pineapple,Fruits,SUP-002,862.85,5.61,57.48,1510.8,7.0,53.2,Yes,Zone-D,4.1,4.53,6,Packer-Z,1756.44,298.31,3.16,4745.7,88.42,0,0,Partial,78.76,1,75.93,8.8,3416.85,Good,Low,Monitor & Maintain
