[2026-08-16T18:33:10.264731+00:00] ALERT for batch_id=8: Tomato batch #8: Medium risk (56.7/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 18.02/kg).
[2026-08-16T18:34:10.051089+00:00] ALERT for batch_id=9: Tomato batch #9: Low risk (13.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T18:35:37.260332+00:00] ALERT for batch_id=10: Tomato batch #10: Low risk (13.6/100). Recommended: Nagpur Kalamna Mandi (35.2 km, Rs 17.39/kg).
[2026-08-16T18:36:25.206343+00:00] ALERT for batch_id=11: Tomato batch #11: Low risk (13.6/100). Recommended: Nagpur Kalamna Mandi (35.2 km, Rs 17.39/kg).
[2026-08-16T18:36:34.474098+00:00] ALERT for batch_id=12: Tomato batch #12: Low risk (10.7/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 18.02/kg).
[2026-08-16T18:36:39.297365+00:00] ALERT for batch_id=13: Tomato batch #13: Low risk (13.6/100). Recommended: Nagpur Kalamna Mandi (35.2 km, Rs 17.39/kg).
[2026-08-16T18:49:38.059479+00:00] ALERT for batch_id=14: Tomato batch #14: Low risk (7.8/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T18:49:59.476825+00:00] ALERT for batch_id=15: Tomato batch #15: Low risk (8.6/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 18.02/kg).
[2026-08-16T18:50:06.108895+00:00] ALERT for batch_id=16: Tomato batch #16: Low risk (8.6/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 18.02/kg).
[2026-08-16T18:52:35.709546+00:00] ALERT for batch_id=17: Tomato batch #17: Low risk (8.6/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 18.02/kg).
[2026-08-16T19:22:36.775977+00:00] ALERT for batch_id=18: Banana batch #18: Medium risk (50.2/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 13.53/kg).
[2026-08-16T19:23:16.846337+00:00] ALERT for batch_id=19: Tomato batch #19: Low risk (7.8/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T19:29:44.480559+00:00] ALERT for batch_id=20: Tomato batch #20: Low risk (7.8/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T19:38:19.847587+00:00] ALERT for batch_id=23: Tomato batch #23: Low risk (7.8/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T19:39:24.790759+00:00] ALERT for batch_id=24: Tomato batch #24: Medium risk (51.6/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T19:39:47.272848+00:00] ALERT for batch_id=25: Tomato batch #25: Low risk (22.8/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T19:53:45.066891+00:00] ALERT for batch_id=26: Tomato batch #26: Low risk (7.7/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T20:00:03.228714+00:00] ALERT for batch_id=27: Tomato batch #27: Low risk (7.7/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T20:05:15.632990+00:00] ALERT for batch_id=27: Tomato batch #27: Low risk (7.7/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T20:07:43.301307+00:00] ALERT for batch_id=27: Tomato batch #27: Low risk (7.7/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T20:08:46.123730+00:00] ALERT for batch_id=28: Tomato batch #28: Low risk (7.7/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 18.02/kg).
[2026-08-16T20:20:13.854581+00:00] ALERT for batch_id=29: Potato batch #29: Low risk (27.1/100). Recommended: Nashik APMC Mandi (34.7 km, Rs 14.51/kg).
[2026-08-16T20:26:57.950509+00:00] ALERT for batch_id=30: Mango batch #30: Medium risk (42.5/100). Recommended: Nagpur MIDC Cold Storage (12.7 km, Rs 29.24/kg).
[2026-08-16T20:43:31.700943+00:00] ALERT for batch_id=31: Tomato batch #31: Low risk (5.7/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-16T20:54:29.695940+00:00] ALERT for batch_id=32: Tomato batch #32: Low risk (5.7/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-16T21:01:47.288992+00:00] ALERT for batch_id=33: Tomato batch #33: Low risk (5.7/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-16T21:04:34.579283+00:00] ALERT for batch_id=34: Onion batch #34: Low risk (2.3/100). Recommended: Nashik APMC Mandi (34.7 km, Rs 19.77/kg).
[2026-08-16T21:18:38.838491+00:00] ALERT for batch_id=35: Chili batch #35: Medium risk (59.8/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 41.47/kg).
[2026-08-16T21:19:18.553677+00:00] ALERT for batch_id=36: Tomato batch #36: Low risk (5.9/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-16T21:19:46.273991+00:00] ALERT for batch_id=37: Potato batch #37: Low risk (15.5/100). Recommended: Nashik APMC Mandi (34.7 km, Rs 14.51/kg).
[2026-08-21T06:14:33.310789+00:00] ALERT for batch_id=38: Tomato batch #38: Low risk (27.2/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:19.378503+00:00] ALERT for batch_id=38: Tomato batch #38: Low risk (28.3/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:19.821371+00:00] ALERT for batch_id=37: Potato batch #37: Medium risk (37.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 13.79/kg).
[2026-08-21T06:32:19.822330+00:00] ALERT for batch_id=36: Tomato batch #36: Medium risk (53.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:19.825040+00:00] ALERT for batch_id=34: Onion batch #34: Low risk (12.6/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 19.81/kg).
